ID	WORKRESOURCEID	EMPLOYEEFILTERID
1722387769	5168	1863
1722387770	7751	1863
1722387771	7773	1863
1722387772	8531	1863
1722387773	9470	1863
1722387774	12321	1863
1722387776	12351	1863
1722387777	12371	1863
1722387778	12386	1863
1722387779	12551	1863
1722387780	12604	1863
1722387781	13290	1863
1722387782	13806	1863
1722387783	13812	1863
1722387784	13813	1863
1722387785	13852	1863
1722387786	13853	1863
1722387787	14008	1863
1722387788	14009	1863
1722387789	15528	1863
1722387790	15592	1863
1722387791	15691	1863
1722387792	15701	1863
1722387793	16481	1863
1722387794	16726	1863
1722387795	16729	1863
1722387796	16739	1863
1722387797	18075	1863
1722387798	18099	1863
1722387799	18105	1863
1722387800	18107	1863
1722387801	18120	1863
1722387802	18263	1863
1722387803	18264	1863
1722387804	18277	1863
1722387805	18285	1863
1722387806	18342	1863
1722387807	18695	1863
1722387808	18727	1863
1722387809	18728	1863
1722387810	18731	1863
1722387811	18762	1863
1722387812	18765	1863
1722387813	18959	1863
1722387814	18972	1863
1722387815	18993	1863
1722387816	19062	1863
1722387817	19063	1863
1722387818	19065	1863
1722387819	19069	1863
1722387820	19786	1863
1722387821	19825	1863
1722387822	19872	1863
1722387823	21055	1863
1722387824	21300	1863
1722387825	21752	1863
1722387826	21772	1863
1722387827	21775	1863
1722387828	21828	1863
1722387829	21829	1863
1722387830	22030	1863
1722387831	22052	1863
1722387832	22062	1863
1722387833	22069	1863
1722387834	22095	1863
1722387835	22150	1863
1722387836	22951	1863
1722387837	22986	1863
1722387838	23036	1863
1722387839	23195	1863
1722387840	23209	1863
1722387841	23215	1863
1722387842	23966	1863
1722387843	23967	1863
1722387845	23985	1863
1722387846	23989	1863
1722387847	24030	1863
1722387848	24569	1863
1722387849	24619	1863
1722387850	24732	1863
1722387851	25701	1863
1722387852	25702	1863
1722387853	25703	1863
1722387854	25810	1863
1722387855	25821	1863
1722387856	26174	1863
1722387857	28427	1863
1722387858	28708	1863
1722387859	30407	1863
1722387860	32125	1863
1722387861	33401	1863
1722387862	33459	1863
1722387863	33512	1863
1722387864	33530	1863
1722387865	34955	1863
1722387866	35004	1863
1722387867	35052	1863
1722387868	35121	1863
1722387869	35175	1863
1722387870	36671	1863
1722387871	36701	1863
1722387872	37707	1863
1722387873	39276	1863
1722387874	39604	1863
1722387875	39606	1863
1722387876	39852	1863
