ID	PERSONID	EMPLOYEETYPEID	ASSIGNEDPOINTS	BADGE	EMPLOYEENUMBER	STARTTIME	ENDTIME	CHANGECOUNTER	MODIFIEDBY	ISSUPERVISOR	ISTEAMLEAD	PREFERREDSTART
57841	11341	1	0	NULL	48657	2011-11-14 06:00:00.000	2012-02-09 05:59:00.000	3	heather.trautman	0	0	0
57842	11342	1	0	NULL	48552	2011-11-14 06:00:00.000	2012-01-04 05:59:00.000	3	veronicavidaurri	0	0	0
57843	11343	1	0	NULL	48690	2011-11-14 06:00:00.000	2011-12-14 05:59:00.000	3	veronicavidaurri	0	0	0
57844	11344	1	0	NULL	48479	2011-11-07 06:00:00.000	NULL	11	jennifer.draper	0	0	0
57845	11345	1	0	NULL	48480	2011-11-07 06:00:00.000	2012-02-25 05:59:00.000	9	paulawilson	0	0	0
57846	11346	1	0	NULL	48481	2011-11-07 06:00:00.000	NULL	15	veronicavidaurri	0	0	0
57847	11347	1	0	NULL	47955	2011-11-07 06:00:00.000	2012-09-29 04:59:00.000	13	jennifer.draper	0	0	0
81967	11805	1	0	NULL	34310	2012-05-14 05:00:00.000	NULL	6	christina.bradley	0	0	0
81968	11806	1	0	NULL	50731	2012-05-14 05:00:00.000	2012-06-16 04:59:00.000	4	christina.bradley	0	0	0
57652	11152	1	0	NULL	NULL	2011-11-04 05:00:00.000	2012-08-02 04:59:00.000	18	tammylewis	0	0	0
57657	11157	1	0	NULL	NULL	2011-11-04 05:00:00.000	NULL	21		0	0	0
57670	11170	1	0	NULL	NULL	2011-11-04 05:00:00.000	2012-01-26 05:59:00.000	3	tammylewis	0	0	0
57671	11171	1	0	NULL	NULL	2011-11-04 05:00:00.000	2011-11-24 05:59:00.000	5	marygaskin	0	0	0
57672	11172	1	0	NULL	NULL	2011-11-04 05:00:00.000	2011-12-09 05:59:00.000	3	marygaskin	0	0	0
57679	11179	1	0	NULL	NULL	2011-11-04 05:00:00.000	NULL	19		0	0	0
57684	11184	1	0	NULL	NULL	2011-11-04 05:00:00.000	NULL	20		0	0	0
