ID,REPORTING_PERIOD_END_DATE,PROJECT_NAME,METRIC_NAME,ACTUAL_VALUE,FORECAST_VALUE
449,11/2/2013,CCO - Brownsville,ASA,,
456,11/2/2013,CCO - Brownsville,AB Rate,,
379,11/2/2013,CT HIX,Calls Arriving,,
386,11/2/2013,CT HIX,Calls Offered,7832,8171
393,11/2/2013,CT HIX,FTE Count,65,65
400,11/2/2013,CT HIX,AHT,506,700
407,11/2/2013,CT HIX,ASA,33,50
414,11/2/2013,CT HIX,AB Rate,1.41,4
463,11/2/2013,DC HIX,Calls Arriving,952,
470,11/2/2013,DC HIX,Calls Offered,894,
477,11/2/2013,DC HIX,FTE Count,40,
484,11/2/2013,DC HIX,AHT,558,
491,11/2/2013,DC HIX,ASA,7,
498,11/2/2013,DC HIX,AB Rate,1.6,
547,11/2/2013,HI HIX,Calls Arriving,4274,4156
554,11/2/2013,HI HIX,Calls Offered,3267,3325
561,11/2/2013,HI HIX,FTE Count,18,18
568,11/2/2013,HI HIX,AHT,491,510
575,11/2/2013,HI HIX,ASA,72,45
582,11/2/2013,HI HIX,AB Rate,16.75,12.5
505,11/2/2013,MD HIX,Calls Arriving,9712,9650
512,11/2/2013,MD HIX,Calls Offered,9325,9315
519,11/2/2013,MD HIX,FTE Count,98,97
526,11/2/2013,MD HIX,AHT,637,780
533,11/2/2013,MD HIX,ASA,32,6
540,11/2/2013,MD HIX,AB Rate,3.2,3
302,11/2/2013,NY HIX,Calls Arriving,35615,42000
309,11/2/2013,NY HIX,Calls Offered,25131,26000
316,11/2/2013,NY HIX,FTE Count,310,321
323,11/2/2013,NY HIX,AHT,645,750
330,11/2/2013,NY HIX,ASA,27,10
337,11/2/2013,NY HIX,AB Rate,2.28,1.6
344,11/2/2013,VT HIX,Calls Arriving,4234,4100
351,11/2/2013,VT HIX,Calls Offered,3721,3690
358,11/2/2013,VT HIX,AHT,677,720
365,11/2/2013,VT HIX,ASA,327,210
372,11/2/2013,VT HIX,AB Rate,21.28,15
588,11/9/2013,CCO - Boise,Calls Arriving,37132,
595,11/9/2013,CCO - Boise,Calls Offered,37132,
602,11/9/2013,CCO - Boise,FTE Count,1205,1156
609,11/9/2013,CCO - Boise,AHT,1159,510
616,11/9/2013,CCO - Boise,ASA,,
623,11/9/2013,CCO - Boise,AB Rate,,
420,11/9/2013,CCO - Brownsville,Calls Arriving,4575,
427,11/9/2013,CCO - Brownsville,Calls Offered,4575,
434,11/9/2013,CCO - Brownsville,FTE Count,707,710
441,11/9/2013,CCO - Brownsville,AHT,538,510
448,11/9/2013,CCO - Brownsville,ASA,,
455,11/9/2013,CCO - Brownsville,AB Rate,,
378,11/9/2013,CT HIX,Calls Arriving,,
385,11/9/2013,CT HIX,Calls Offered,8637,7950
392,11/9/2013,CT HIX,FTE Count,65,65
399,11/9/2013,CT HIX,AHT,510,700
406,11/9/2013,CT HIX,ASA,95,60
413,11/9/2013,CT HIX,AB Rate,3.5,5
462,11/9/2013,DC HIX,Calls Arriving,1021,3959
469,11/9/2013,DC HIX,Calls Offered,986,3662
476,11/9/2013,DC HIX,FTE Count,40,40
483,11/9/2013,DC HIX,AHT,620,780
490,11/9/2013,DC HIX,ASA,8,21
497,11/9/2013,DC HIX,AB Rate,1.4,5
546,11/9/2013,HI HIX,Calls Arriving,4088,4156
553,11/9/2013,HI HIX,Calls Offered,3373,3325
560,11/9/2013,HI HIX,FTE Count,15,18
567,11/9/2013,HI HIX,AHT,498,510
574,11/9/2013,HI HIX,ASA,51,48
581,11/9/2013,HI HIX,AB Rate,11.1,12
504,11/9/2013,MD HIX,Calls Arriving,10040,11262
511,11/9/2013,MD HIX,Calls Offered,9492,10924
518,11/9/2013,MD HIX,FTE Count,97,97
525,11/9/2013,MD HIX,AHT,687,780
532,11/9/2013,MD HIX,ASA,46,6
539,11/9/2013,MD HIX,AB Rate,4.4,3
301,11/9/2013,NY HIX,Calls Arriving,41552,39000
308,11/9/2013,NY HIX,Calls Offered,26243,27500
315,11/9/2013,NY HIX,FTE Count,310,310
322,11/9/2013,NY HIX,AHT,691,652
329,11/9/2013,NY HIX,ASA,42,19
336,11/9/2013,NY HIX,AB Rate,3.04,2
343,11/9/2013,VT HIX,Calls Arriving,4816,5045
350,11/9/2013,VT HIX,Calls Offered,4105,4541
357,11/9/2013,VT HIX,AHT,828,660
364,11/9/2013,VT HIX,ASA,401,210
371,11/9/2013,VT HIX,AB Rate,21.28,15
587,11/16/2013,CCO - Boise,Calls Arriving,49942,
594,11/16/2013,CCO - Boise,Calls Offered,49942,
601,11/16/2013,CCO - Boise,FTE Count,1209,1263
608,11/16/2013,CCO - Boise,AHT,1080,510
615,11/16/2013,CCO - Boise,ASA,,
622,11/16/2013,CCO - Boise,AB Rate,,
419,11/16/2013,CCO - Brownsville,Calls Arriving,11298,
426,11/16/2013,CCO - Brownsville,Calls Offered,11298,
433,11/16/2013,CCO - Brownsville,FTE Count,679,681
440,11/16/2013,CCO - Brownsville,AHT,597,510
447,11/16/2013,CCO - Brownsville,ASA,,
454,11/16/2013,CCO - Brownsville,AB Rate,,
377,11/16/2013,CT HIX,Calls Arriving,,
384,11/16/2013,CT HIX,Calls Offered,7541,6869
391,11/16/2013,CT HIX,FTE Count,50,65
398,11/16/2013,CT HIX,AHT,536,640
405,11/16/2013,CT HIX,ASA,113,60
412,11/16/2013,CT HIX,AB Rate,4.56,5
461,11/16/2013,DC HIX,Calls Arriving,1789,1800
468,11/16/2013,DC HIX,Calls Offered,1701,1656
475,11/16/2013,DC HIX,FTE Count,39,40
482,11/16/2013,DC HIX,AHT,544,540
489,11/16/2013,DC HIX,ASA,15,10
496,11/16/2013,DC HIX,AB Rate,2.3,8
545,11/16/2013,HI HIX,Calls Arriving,3622,4156
552,11/16/2013,HI HIX,Calls Offered,2791,3325
559,11/16/2013,HI HIX,FTE Count,15,15
566,11/16/2013,HI HIX,AHT,447,510
573,11/16/2013,HI HIX,ASA,45,38
580,11/16/2013,HI HIX,AB Rate,11.95,8.22
503,11/16/2013,MD HIX,Calls Arriving,10581,11262
510,11/16/2013,MD HIX,Calls Offered,8370,10924
517,11/16/2013,MD HIX,FTE Count,92,97
524,11/16/2013,MD HIX,AHT,742,780
531,11/16/2013,MD HIX,ASA,167,6
538,11/16/2013,MD HIX,AB Rate,15,3
300,11/16/2013,NY HIX,Calls Arriving,43953,36358
307,11/16/2013,NY HIX,Calls Offered,27305,19241
314,11/16/2013,NY HIX,FTE Count,300,310
321,11/16/2013,NY HIX,AHT,714,695
328,11/16/2013,NY HIX,ASA,203,30
335,11/16/2013,NY HIX,AB Rate,11.8,2.5
342,11/16/2013,VT HIX,Calls Arriving,5142,4200
349,11/16/2013,VT HIX,Calls Offered,4088,3780
356,11/16/2013,VT HIX,AHT,833,660
363,11/16/2013,VT HIX,ASA,539,180
370,11/16/2013,VT HIX,AB Rate,21.28,15
586,11/23/2013,CCO - Boise,Calls Arriving,43205,
593,11/23/2013,CCO - Boise,Calls Offered,43205,
600,11/23/2013,CCO - Boise,FTE Count,1285,1184
607,11/23/2013,CCO - Boise,AHT,1011,510
614,11/23/2013,CCO - Boise,ASA,,
621,11/23/2013,CCO - Boise,AB Rate,,
418,11/23/2013,CCO - Brownsville,Calls Arriving,8471,
425,11/23/2013,CCO - Brownsville,Calls Offered,8471,
432,11/23/2013,CCO - Brownsville,FTE Count,718,672
439,11/23/2013,CCO - Brownsville,AHT,643,510
446,11/23/2013,CCO - Brownsville,ASA,,
453,11/23/2013,CCO - Brownsville,AB Rate,,
376,11/23/2013,CT HIX,Calls Arriving,,
383,11/23/2013,CT HIX,Calls Offered,8366,9390
390,11/23/2013,CT HIX,FTE Count,61,65
397,11/23/2013,CT HIX,AHT,538,640
404,11/23/2013,CT HIX,ASA,85,50
411,11/23/2013,CT HIX,AB Rate,2.63,4
460,11/23/2013,DC HIX,Calls Arriving,2655,1800
467,11/23/2013,DC HIX,Calls Offered,2400,1656
474,11/23/2013,DC HIX,FTE Count,40,40
481,11/23/2013,DC HIX,AHT,508,540
488,11/23/2013,DC HIX,ASA,31,10
495,11/23/2013,DC HIX,AB Rate,5.8,8
544,11/23/2013,HI HIX,Calls Arriving,3442,4156
551,11/23/2013,HI HIX,Calls Offered,2913,3325
558,11/23/2013,HI HIX,FTE Count,15,15
565,11/23/2013,HI HIX,AHT,454,510
572,11/23/2013,HI HIX,ASA,33,39
579,11/23/2013,HI HIX,AB Rate,6.04,8.56
502,11/23/2013,MD HIX,Calls Arriving,10717,11262
509,11/23/2013,MD HIX,Calls Offered,6717,10924
516,11/23/2013,MD HIX,FTE Count,86,95
523,11/23/2013,MD HIX,AHT,846,780
530,11/23/2013,MD HIX,ASA,308,6
537,11/23/2013,MD HIX,AB Rate,22,3
299,11/23/2013,NY HIX,Calls Arriving,47842,36358
306,11/23/2013,NY HIX,Calls Offered,30978,27364.49
313,11/23/2013,NY HIX,FTE Count,349,310
320,11/23/2013,NY HIX,AHT,674,700
327,11/23/2013,NY HIX,ASA,75,33
334,11/23/2013,NY HIX,AB Rate,4.16,2.3
341,11/23/2013,VT HIX,Calls Arriving,6729,4770
348,11/23/2013,VT HIX,Calls Offered,5697,4300
355,11/23/2013,VT HIX,AHT,817,720
362,11/23/2013,VT HIX,ASA,610,210
369,11/23/2013,VT HIX,AB Rate,24.07,15
585,11/30/2013,CCO - Boise,Calls Arriving,27621,
592,11/30/2013,CCO - Boise,Calls Offered,27621,
599,11/30/2013,CCO - Boise,FTE Count,1246,1212
606,11/30/2013,CCO - Boise,AHT,964,510
613,11/30/2013,CCO - Boise,ASA,,
620,11/30/2013,CCO - Boise,AB Rate,,
417,11/30/2013,CCO - Brownsville,Calls Arriving,12331,
424,11/30/2013,CCO - Brownsville,Calls Offered,12331,
431,11/30/2013,CCO - Brownsville,FTE Count,688,654
438,11/30/2013,CCO - Brownsville,AHT,853,510
445,11/30/2013,CCO - Brownsville,ASA,,
452,11/30/2013,CCO - Brownsville,AB Rate,,
375,11/30/2013,CT HIX,Calls Arriving,,
382,11/30/2013,CT HIX,Calls Offered,5601,7238
389,11/30/2013,CT HIX,FTE Count,41,54
396,11/30/2013,CT HIX,AHT,526,640
403,11/30/2013,CT HIX,ASA,55,50
410,11/30/2013,CT HIX,AB Rate,2.2,4
459,11/30/2013,DC HIX,Calls Arriving,2337,2100
