"D_REPORTING_PERIOD_ID","TYPE","START_DATE","END_DATE","MONTH","YEAR","CREATE_DATE","CREATED_BY","LAST_MODIFIED_DATE","UPDATED_BY"
5,"WEEKLY",09/29/2013 00:00:00,10/05/2013 00:00:00,"October",2013,,"",01/13/2014 18:04:44,"MOTS"
6,"WEEKLY",10/06/2013 00:00:00,10/12/2013 00:00:00,"October",2013,,"",01/13/2014 18:04:44,"MOTS"
7,"WEEKLY",10/13/2013 00:00:00,10/19/2013 00:00:00,"October",2013,,"",01/13/2014 18:04:45,"MOTS"
8,"WEEKLY",10/20/2013 00:00:00,10/26/2013 00:00:00,"October",2013,,"",01/13/2014 18:04:45,"MOTS"
9,"WEEKLY",10/27/2013 00:00:00,11/02/2013 00:00:00,"October",2013,,"",01/13/2014 18:04:45,"MOTS"
10,"WEEKLY",11/03/2013 00:00:00,11/09/2013 00:00:00,"November",2013,,"",01/13/2014 18:04:45,"MOTS"
11,"WEEKLY",11/10/2013 00:00:00,11/16/2013 00:00:00,"November",2013,,"",01/13/2014 18:04:45,"MOTS"
12,"WEEKLY",11/17/2013 00:00:00,11/23/2013 00:00:00,"December",2013,,"",01/13/2014 18:04:45,"MOTS"
13,"WEEKLY",11/24/2013 00:00:00,11/30/2013 00:00:00,"January",2013,,"",01/13/2014 18:04:45,"MOTS"
14,"WEEKLY",12/01/2013 00:00:00,12/07/2013 00:00:00,"December",2013,,"",01/13/2014 18:04:45,"MOTS"
15,"WEEKLY",12/08/2013 00:00:00,12/14/2013 00:00:00,"December",2013,,"",01/13/2014 18:04:45,"MOTS"
16,"WEEKLY",12/15/2013 00:00:00,12/21/2013 00:00:00,"December",2013,,"",01/13/2014 18:04:45,"MOTS"
17,"WEEKLY",12/22/2013 00:00:00,12/28/2013 00:00:00,"December",2013,,"",01/13/2014 18:04:45,"MOTS"
18,"WEEKLY",12/29/2013 00:00:00,01/04/2014 00:00:00,"January",2014,,"",01/13/2014 18:04:45,"MOTS"
19,"WEEKLY",01/05/2014 00:00:00,01/11/2014 00:00:00,"January",2014,,"",01/13/2014 18:04:45,"MOTS"
20,"WEEKLY",01/12/2014 00:00:00,01/18/2014 00:00:00,"January",2014,,"",01/13/2014 18:04:45,"MOTS"
21,"WEEKLY",01/19/2014 00:00:00,01/25/2014 00:00:00,"January",2014,,"",01/13/2014 18:04:45,"MOTS"
22,"WEEKLY",01/26/2014 00:00:00,02/01/2014 00:00:00,"January",2014,,"",01/13/2014 18:04:45,"MOTS"
23,"WEEKLY",02/02/2014 00:00:00,02/08/2014 00:00:00,"February",2014,,"",01/13/2014 18:04:45,"MOTS"
24,"WEEKLY",02/09/2014 00:00:00,02/15/2014 00:00:00,"February",2014,,"",01/13/2014 18:04:45,"MOTS"
25,"WEEKLY",02/16/2014 00:00:00,02/22/2014 00:00:00,"February",2014,,"",01/13/2014 18:04:45,"MOTS"
26,"WEEKLY",02/23/2014 00:00:00,03/01/2014 00:00:00,"February",2014,,"",01/13/2014 18:04:45,"MOTS"
27,"WEEKLY",03/02/2014 00:00:00,03/08/2014 00:00:00,"March",2014,,"",01/13/2014 18:04:45,"MOTS"
28,"WEEKLY",03/09/2014 00:00:00,03/15/2014 00:00:00,"March",2014,,"",01/13/2014 18:04:45,"MOTS"
29,"WEEKLY",03/16/2014 00:00:00,03/22/2014 00:00:00,"March",2014,,"",01/13/2014 18:04:45,"MOTS"
30,"WEEKLY",03/23/2014 00:00:00,03/29/2014 00:00:00,"March",2014,,"",01/13/2014 18:04:45,"MOTS"
31,"WEEKLY",03/30/2014 00:00:00,04/05/2014 00:00:00,"April",2014,,"",01/13/2014 18:04:45,"MOTS"
32,"WEEKLY",04/06/2014 00:00:00,04/12/2014 00:00:00,"April",2014,,"",01/13/2014 18:04:45,"MOTS"
33,"WEEKLY",04/13/2014 00:00:00,04/19/2014 00:00:00,"April",2014,,"",01/13/2014 18:04:45,"MOTS"
34,"WEEKLY",04/20/2014 00:00:00,04/26/2014 00:00:00,"April",2014,,"",01/13/2014 18:04:45,"MOTS"
35,"WEEKLY",04/27/2014 00:00:00,05/03/2014 00:00:00,"April",2014,,"",01/13/2014 18:04:45,"MOTS"
36,"WEEKLY",05/04/2014 00:00:00,05/10/2014 00:00:00,"May",2014,,"",01/13/2014 18:04:45,"MOTS"
37,"WEEKLY",05/11/2014 00:00:00,05/17/2014 00:00:00,"May",2014,,"",01/13/2014 18:04:45,"MOTS"
38,"WEEKLY",05/18/2014 00:00:00,05/24/2014 00:00:00,"May",2014,,"",01/13/2014 18:04:45,"MOTS"
39,"WEEKLY",05/25/2014 00:00:00,05/31/2014 00:00:00,"May",2014,,"",01/13/2014 18:04:45,"MOTS"
40,"WEEKLY",06/01/2014 00:00:00,06/07/2014 00:00:00,"June",2014,,"",01/13/2014 18:04:45,"MOTS"
41,"WEEKLY",06/08/2014 00:00:00,06/14/2014 00:00:00,"June",2014,,"",01/13/2014 18:04:45,"MOTS"
42,"WEEKLY",06/15/2014 00:00:00,06/21/2014 00:00:00,"June",2014,,"",01/13/2014 18:04:45,"MOTS"
43,"WEEKLY",06/22/2014 00:00:00,06/28/2014 00:00:00,"June",2014,,"",01/13/2014 18:04:45,"MOTS"
44,"WEEKLY",06/29/2014 00:00:00,07/05/2014 00:00:00,"July",2014,,"",01/13/2014 18:04:45,"MOTS"
45,"WEEKLY",07/06/2014 00:00:00,07/12/2014 00:00:00,"July",2014,,"",01/13/2014 18:04:45,"MOTS"
46,"WEEKLY",07/13/2014 00:00:00,07/19/2014 00:00:00,"July",2014,,"",01/13/2014 18:04:45,"MOTS"
47,"WEEKLY",07/20/2014 00:00:00,07/26/2014 00:00:00,"July",2014,,"",01/13/2014 18:04:45,"MOTS"
48,"WEEKLY",07/27/2014 00:00:00,08/02/2014 00:00:00,"July",2014,,"",01/13/2014 18:04:45,"MOTS"
49,"WEEKLY",08/03/2014 00:00:00,08/09/2014 00:00:00,"August",2014,,"",01/13/2014 18:04:45,"MOTS"
50,"WEEKLY",08/10/2014 00:00:00,08/16/2014 00:00:00,"August",2014,,"",01/13/2014 18:04:45,"MOTS"
51,"WEEKLY",08/17/2014 00:00:00,08/23/2014 00:00:00,"August",2014,,"",01/13/2014 18:04:45,"MOTS"
52,"WEEKLY",08/24/2014 00:00:00,08/30/2014 00:00:00,"August",2014,,"",01/13/2014 18:04:45,"MOTS"
53,"WEEKLY",08/31/2014 00:00:00,09/06/2014 00:00:00,"September",2014,,"",01/13/2014 18:04:45,"MOTS"
54,"WEEKLY",09/07/2014 00:00:00,09/13/2014 00:00:00,"September",2014,,"",01/13/2014 18:04:45,"MOTS"
55,"WEEKLY",09/14/2014 00:00:00,09/20/2014 00:00:00,"September",2014,,"",01/13/2014 18:04:45,"MOTS"
56,"WEEKLY",09/21/2014 00:00:00,09/27/2014 00:00:00,"September",2014,,"",01/13/2014 18:04:45,"MOTS"
57,"WEEKLY",09/28/2014 00:00:00,10/04/2014 00:00:00,"October",2014,,"",01/13/2014 18:04:45,"MOTS"
58,"WEEKLY",10/05/2014 00:00:00,10/11/2014 00:00:00,"October",2014,,"",01/13/2014 18:04:45,"MOTS"
59,"WEEKLY",10/12/2014 00:00:00,10/18/2014 00:00:00,"October",2014,,"",01/13/2014 18:04:45,"MOTS"
60,"WEEKLY",10/19/2014 00:00:00,10/25/2014 00:00:00,"October",2014,,"",01/13/2014 18:04:45,"MOTS"
61,"WEEKLY",10/26/2014 00:00:00,11/01/2014 00:00:00,"October",2014,,"",01/13/2014 18:04:45,"MOTS"
62,"WEEKLY",11/02/2014 00:00:00,11/08/2014 00:00:00,"November",2014,,"",01/13/2014 18:04:45,"MOTS"
63,"WEEKLY",11/09/2014 00:00:00,11/15/2014 00:00:00,"November",2014,,"",01/13/2014 18:04:45,"MOTS"
64,"WEEKLY",11/16/2014 00:00:00,11/22/2014 00:00:00,"November",2014,,"",01/13/2014 18:04:45,"MOTS"
65,"WEEKLY",11/23/2014 00:00:00,11/29/2014 00:00:00,"November",2014,,"",01/13/2014 18:04:45,"MOTS"
