SkillTargetID	ScheduleID	PeripheralID	EnterpriseName	PeripheralNumber	PeripheralName	AvailableHoldoffDelay	Priority	BaseSkillTargetID	Extension	SubGroupMaskType	SubSkillGroupMask	ConfigParam	Description	Deleted	MRDomainID	IPTA	DefaultEntry	UserDeletable	ServiceLevelThreshold	ServiceLevelType	BucketIntervalID	ChangeStamp
14103	NULL	5000	CCM_PG1.585_CHIP_PD_Enrl_SP	585	585_CHIP_PD_Enrl_SP	-1	0	14103	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	CHIP - Outbound Enrollment Spanish	N	1	Y	0	Y	-1	0	NULL	0
14308	NULL	5002	CCM_PG3.9998_Edinburg_Training	9998	9998_Edinburg_Training_SG	-1	0	14308	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
14661	NULL	5002	CCM_PG3.392_IEE_EN_SEU_TDD	392	392_IEE_EN_SEU_TDD	-1	0	14661	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
14662	NULL	5002	CCM_PG3.393_IEE_SP_SEU_TDD	393	CCM_PG3.393_IEE_SP_SEU_TDD	-1	0	14662	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
14669	NULL	5004	CCM_PG5.660_STATE_MITIGATION	660	660_STATE_MITIGATION	-1	0	14669	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
14880	NULL	5002	CCM_PG3.801_EMERG_Edinburg	801	801_EMERG_Edinburg	-1	0	14880	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
15446	NULL	5000	CCM_PG1.257_EB_PD_EXP_DENT	257	257_EB_PD_EXP_DENT	-1	0	15446	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	1
15894	NULL	5000	CCM_PG1.204_EB_EN_FREW	204	204_EB_EN_FREW	-1	0	15894	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	EB - English queue for FREW callers	N	1	Y	0	Y	-1	0	NULL	0
15895	NULL	5000	CCM_PG1.205_EB_SP_FREW	205	205_EB_SP_FREW	-1	0	15895	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	EB - Spanish queue for FREW callers	N	1	Y	0	Y	-1	0	NULL	0
16181	NULL	5000	CCM_PG1.504_CHIP_EN_SEU_TDD	504	504_CHIP_EN_SEU_TDD	-1	0	16181	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
