ID	EMPLOYEEID	ACTIVITYID	TIMEOFFEVENTID	TIMEOFFCHOICEID	TIMEOFFCHOICERANK	TIMEOFFRULE	TOTALMINUTES	STARTTIME	ENDTIME	ISDIRTY	DIRTYTIME	STATUS	HOURSPERDAY	ORIGMINUTES	EXPIRYDATE
1189254	106046	253	NULL	65923	1	2	270	2013-10-01 14:00:00.000	2013-10-01 19:00:00.000	0	2013-10-04 12:44:55.000	1	1:4.5	300	2013-10-01 14:00:00.000
1189263	57570	-4113	NULL	65930	1	2	180	2013-10-07 13:30:00.000	2013-10-07 16:30:00.000	0	2013-09-17 18:29:55.000	6	3:3.0	180	2013-10-07 13:30:00.000
1189288	54557	-4113	NULL	65936	1	2	60	2013-10-11 21:00:00.000	2013-10-11 22:00:00.000	0	2013-10-10 16:59:13.000	2	1:1	60	2013-10-11 21:00:00.000
1189327	97423	253	NULL	65940	1	2	0	2013-10-09 14:30:00.000	2013-10-09 23:00:00.000	0	2013-10-02 17:25:36.000	1	0:0	480	2013-10-09 14:30:00.000
1189330	97423	253	NULL	65942	1	2	0	2013-10-10 14:30:00.000	2013-10-10 23:00:00.000	0	2013-10-02 17:25:36.000	1	0:0	480	2013-10-10 14:30:00.000
1189343	93785	-4113	NULL	65951	1	2	480	2013-10-04 05:00:00.000	2013-10-05 05:00:00.000	0	2013-09-17 15:52:42.000	6	3:8	480	2013-10-04 05:00:00.000
1189344	97423	253	NULL	65952	1	2	0	2013-10-11 14:30:00.000	2013-10-11 23:00:00.000	0	2013-10-02 17:25:36.000	1	0:0	480	2013-10-11 14:30:00.000
1189406	46980	-4113	NULL	65960	1	2	150	2013-09-30 20:00:00.000	2013-09-30 23:00:00.000	0	2013-10-02 16:02:50.000	1	2:2.5	180	2013-09-30 20:00:00.000
1189417	94690	-4113	NULL	65966	1	2	480	2013-10-07 14:45:00.000	2013-10-07 23:30:00.000	0	2013-10-11 18:35:18.000	1	1:8	480	2013-10-07 14:45:00.000
1189441	58107	-4113	NULL	65974	1	2	90	2013-10-01 17:00:00.000	2013-10-01 18:30:00.000	0	2013-09-25 21:54:50.000	1	2:1.5	90	2013-10-01 17:00:00.000
1189558	22070	-4113	NULL	65989	1	2	270	2013-10-01 13:00:00.000	2013-10-01 18:00:00.000	0	2013-09-25 22:15:14.000	1	2:4.5	300	2013-10-01 13:00:00.000
1189566	71016	-4113	NULL	65993	1	2	120	2013-10-11 14:00:00.000	2013-10-11 16:30:00.000	0	2013-10-11 18:12:02.000	1	1:2	150	2013-10-11 14:00:00.000
1189647	57728	-4113	NULL	66001	1	2	480	2013-10-02 14:30:00.000	2013-10-02 23:00:00.000	0	2013-09-25 21:54:56.000	1	2:8	480	2013-10-02 14:30:00.000
1189658	94688	-4113	NULL	66002	1	2	60	2013-10-02 20:00:00.000	2013-10-02 21:00:00.000	0	2013-10-04 19:31:03.000	1	1:1	60	2013-10-02 20:00:00.000
1189809	97025	253	NULL	66015	1	2	480	2013-10-08 14:30:00.000	2013-10-08 23:00:00.000	0	2013-10-11 20:06:10.000	2	1:8	510	2013-10-08 14:30:00.000
1189815	71020	-4113	NULL	66017	1	2	120	2013-10-10 17:00:00.000	2013-10-10 19:00:00.000	0	2013-10-10 23:11:57.000	1	1:2	120	2013-10-10 17:00:00.000
1189828	45257	253	NULL	66022	1	2	180	2013-09-30 13:30:00.000	2013-09-30 16:30:00.000	0	2013-10-04 19:30:34.000	1	1:3.0	180	2013-09-30 13:30:00.000
1189853	98172	253	NULL	66033	1	2	135	2013-10-11 19:30:00.000	2013-10-11 21:45:00.000	0	2013-10-10 16:15:16.000	2	1:2.25	135	2013-10-11 19:30:00.000
1189862	93809	-4113	NULL	66038	1	2	480	2013-10-09 14:30:00.000	2013-10-09 23:00:00.000	0	2013-10-09 14:49:58.000	1	2:8	480	2013-10-09 14:30:00.000
1189901	64258	-4113	NULL	66042	1	2	480	2013-10-02 13:00:00.000	2013-10-02 21:45:00.000	0	2013-10-03 19:48:46.000	1	1:8	480	2013-10-02 13:00:00.000
1190059	54598	-4113	NULL	66058	1	2	150	2013-10-09 18:45:00.000	2013-10-09 21:45:00.000	0	2013-10-10 17:33:45.000	1	1:2.5	180	2013-10-09 18:45:00.000
1190081	71003	-4113	NULL	66068	1	2	480	2013-10-11 13:15:00.000	2013-10-11 21:45:00.000	0	2013-10-10 16:15:13.000	1	1:8	480	2013-10-11 13:15:00.000
1190085	54636	-4113	NULL	66072	1	2	90	2013-10-01 20:45:00.000	2013-10-01 22:15:00.000	0	2013-09-30 19:21:05.000	1	2:1.5	90	2013-10-01 20:45:00.000
